"codice_1_livello","label_1_livello_it","label_1_livello_en","def_1_livello_it","def_1_livello_en","codice_2_livello","label_2_livello_it","label_2_livello_en","def_2_livello_it","def_2_livello_en"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-0","Frana non determinata (informazioni carenti)","Other type of landslide (not listed)","Frana non determinata (informazioni carenti) (Tipo: Frana)","Other type of landslide (not listed) (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-1","Crollo","Collapse","Crollo (Tipo: Frana)","Collapse (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-10","DGPV","DGPV","DGPV (Tipo: Frana)","DGPV (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-11","Soliflusso, soil creep, scivolamento corticale, smottamenti","Soliflow, soil creep, cortical sliding, landslides","Soliflusso, soil creep, scivolamento corticale, smottamenti (Tipo: Frana)","Soliflow, soil creep, cortical sliding, landslides (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-12","Aree con crolli / ribaltamenti diffusi","Areas subject to widespread collapses / overturns","Aree con crolli / ribaltamenti diffusi (Tipo: Frana)","Areas subject to widespread collapses / overturns (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-13","Aree con sprofondamenti diffusi","Areas subject to widespread sinking","Aree con sprofondamenti diffusi (Tipo: Frana)","Areas subject to widespread sinking (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-14","Aree con frane superficiali diffuse","Areas subject to widespread surface landslides","Aree con frane superficiali diffuse (Tipo: Frana)","Areas subject to widespread surface landslides (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-15","Altra tipologia di frana (non in elenco)","Undetermined landslide (lack of information)","Altra tipologia di frana (non in elenco) (Tipo: Frana)","Undetermined landslide (lack of information) (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-2","Ribaltamento","Overturning","Ribaltamento (Tipo: Frana)","Overturning (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-3","Scivolamento rotazionale","Rotational sliding","Scivolamento rotazionale (Tipo: Frana)","Rotational sliding (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-4","Scivolamento traslativo","Translational sliding","Scivolamento traslativo (Tipo: Frana)","Translational sliding (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-5","Espansione laterale","Lateral expansion","Espansione laterale (Tipo: Frana)","Lateral expansion (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-6","Colata ""lenta"" (velocità compresa tra m/anno - m/mese)","Slow casting (speed between m / year - m / month)","Colata ""lenta"" (velocità compresa tra m/anno - m/mese) (Tipo: Frana)","Slow casting (speed between m / year - m / month) (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-7","Colata ""rapida"" (velocità >m/ora)","Fast casting (speed> m / hour)","Colata ""rapida"" (velocità >m/ora) (Tipo: Frana)","Fast casting (speed> m / hour) (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-8","Sprofondamento","Sinking","Sprofondamento (Tipo: Frana)","Sinking (Type: Landslide)"
"DF","Frana","Landslide","Tipo di dissesto: Frana","Type of instability: Landslide","DF-9","Complesso","Complex","Complesso (Tipo: Frana)","Complex (Type: Landslide)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-0","Dissesto idraulico non definito (informazioni carenti)","","Dissesto idraulico non definito (informazioni carenti) (Tipo: Idraulico)",""
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-1","Colata detritica","Debris flow","Colata detritica (Tipo: Idraulico)","Debris flow (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-10","Insufficienza impianti di sollevamento (acque basse)","Insufficiency of lifting systems (shallow water)","Insufficienza impianti di sollevamento (acque basse) (Tipo: Idraulico)","Insufficiency of lifting systems (shallow water) (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-11","Impedimento al deflusso delle piene alla foce","Prevention of the outflow of floods at the mouth","Impedimento al deflusso delle piene alla foce (Tipo: Idraulico)","Prevention of the outflow of floods at the mouth (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-12","Danneggiamento / collasso delle opere di difesa foce","Damage / collapse of the mouth defense works","Danneggiamento / collasso delle opere di difesa foce (Tipo: Idraulico)","Damage / collapse of the mouth defense works (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-13","Altro tipo di  dissesto idraulico (non in elenco)","Other type of hydraulic instability (not listed)","Altro tipo di  dissesto idraulico (non in elenco) (Tipo: Idraulico)","Other type of hydraulic instability (not listed) (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-2","Piene repentine (flash floods)","Flash floods","Piene repentine (flash floods) (Tipo: Idraulico)","Flash floods (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-3","Alluvioni in zona di conoide","Floods in the fan area","Alluvioni in zona di conoide (Tipo: Idraulico)","Floods in the fan area (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-4","Erosioni di sponda e di fondo","Shore and bottom erosion","Erosioni di sponda e di fondo (Tipo: Idraulico)","Shore and bottom erosion (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-5","Sormonti sponde non arginate","Overlaps on non-embanked banks","Sormonti sponde non arginate (Tipo: Idraulico)","Overlaps on non-embanked banks (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-6","Sormonti argini, sormonti muri arginali","Overlapping embankments, overlapping embankment walls","Sormonti argini, sormonti muri arginali (Tipo: Idraulico)","Overlapping embankments, overlapping embankment walls (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-7","Sfondamenti arginali, sfondamenti muri arginali","Breakthroughs of embankments, breakthroughs of embankments","Sfondamenti arginali, sfondamenti muri arginali (Tipo: Idraulico)","Breakthroughs of embankments, breakthroughs of embankments (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-8","Erosioni e dissesti arginali, fontanazzi","Erosions and embankments, fountains","Erosioni e dissesti arginali, fontanazzi (Tipo: Idraulico)","Erosions and embankments, fountains (Type: Hydraulic)"
"DI","Idraulico","Hydraulic","Tipo di dissesto: Idraulico","Type of instability: Hydraulic","DI-9","Manufatti in alveo, ostacoli al deflusso, fenomeni di rigurgito","Artifacts in the riverbed, obstacles to outflow, regurgitation phenomena","Manufatti in alveo, ostacoli al deflusso, fenomeni di rigurgito (Tipo: Idraulico)","Artifacts in the riverbed, obstacles to outflow, regurgitation phenomena (Type: Hydraulic)"
"DV","Valanga","Avalanche","Tipo di dissesto: Valanga","Type of instability: Avalanche","DV-0","Valanga  non definita (informazioni carenti)","","Valanga  non definita (informazioni carenti) (Tipo: Valanga)",""
"DV","Valanga","Avalanche","Tipo di dissesto: Valanga","Type of instability: Avalanche","DV-1","valanga incanalata","channeled avalanche","valanga incanalata (Tipo: Valanga)","channeled avalanche (Type: Avalanche)"
"DV","Valanga","Avalanche","Tipo di dissesto: Valanga","Type of instability: Avalanche","DV-2","valanga di versante (pendio aperto)","slope avalanche (open slope)","valanga di versante (pendio aperto) (Tipo: Valanga)","slope avalanche (open slope) (Type: Avalanche)"
"DV","Valanga","Avalanche","Tipo di dissesto: Valanga","Type of instability: Avalanche","DV-3","valanga cubiforme","","valanga cubiforme (Tipo: Valanga)",""
"DV","Valanga","Avalanche","Tipo di dissesto: Valanga","Type of instability: Avalanche","DV-4","valanga radente","grazing avalanche","valanga radente (Tipo: Valanga)","grazing avalanche (Type: Avalanche)"
"DV","Valanga","Avalanche","Tipo di dissesto: Valanga","Type of instability: Avalanche","DV-5","valanga di superficie","surface avalanche","valanga di superficie (Tipo: Valanga)","surface avalanche (Type: Avalanche)"
"DV","Valanga","Avalanche","Tipo di dissesto: Valanga","Type of instability: Avalanche","DV-6","valanga di fondo","","valanga di fondo (Tipo: Valanga)",""
"DV","Valanga","Avalanche","Tipo di dissesto: Valanga","Type of instability: Avalanche","DV-7","valanga mista","mixed avalanche","valanga mista (Tipo: Valanga)","mixed avalanche (Type: Avalanche)"
"DV","Valanga","Avalanche","Tipo di dissesto: Valanga","Type of instability: Avalanche","DV-8","Altra tipologia di valanga (non in elenco)","","Altra tipologia di valanga (non in elenco) (Tipo: Valanga)",""
